;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;feature_25;feature_26;feature_27;feature_28;feature_29;feature_30;feature_31;feature_32;feature_33;feature_34;feature_35;feature_36;feature_37;feature_38;feature_39;feature_40;feature_41;feature_42;feature_43;feature_44;feature_45;feature_46;feature_47;feature_48;feature_49;feature_50
0;0.24686912;0.009739715;0.26910102;0.020003965;0.19260664;-0.102836944;0.23250617;0.25498667;-0.52118045;-0.5313856;0.058468673;-0.14862566;0.10919491;0.5367654;-0.037527286;0.5331009;0.46716434;-0.20923167;-0.07999825;-0.2608401;0.00047307287;0.44394788;0.24028614;0.5248622;-0.1114287;0.07790215;-0.2108507;0.26798335;-0.44121757;0.77249265;0.20613937;-0.20977525;0.012226953;-0.3742263;0.17904662;0.3511646;-0.04441712;0.06750989;-0.3150073;-0.06912664;0.08469543;0.24356982;-0.39284843;-0.063656874;0.85640854;-0.30931136;0.31514493;-0.08453188;0.29432827;-0.11997442
1;0.9301951;0.046512;0.25991356;0.011275219;-0.57648766;-0.1620787;-0.14226118;1.2582288;-0.20400469;0.5448369;-0.29915148;0.8349695;-0.49928296;0.38856244;-0.59648985;0.33275843;-0.15929757;-0.1204681;-0.14535551;-0.57564116;-0.018815812;0.3316839;-0.004548653;0.21526232;0.8926639;0.22209002;-0.5772392;-0.088299155;-0.16288736;0.935773;0.07230855;-0.61194795;-0.5531979;-0.14850901;-0.08671426;0.520476;0.23505034;-0.72829324;0.66689533;0.34411475;-0.16911238;-0.3960744;0.06103335;-0.0091112945;-0.08583224;-0.21473828;0.66935486;0.50757813;0.22140957;-0.42033896
2;0.63467646;-0.42088747;-0.044675123;0.08145154;0.6727377;-0.5046777;0.4113586;0.16740115;-0.27725077;-0.021740623;0.42131266;0.3304371;-0.5177975;-0.0243458;-0.043810356;-0.28608125;0.21264815;-0.04802198;0.057289995;-0.6225702;-0.026966102;0.2974151;0.25164348;-0.40701687;0.60756725;0.34452194;-0.18092793;-0.39518908;-0.5026616;0.33099324;-0.19743729;-0.008301273;-0.028836178;-0.4731532;-0.24027915;-0.34392998;0.7552499;-0.37363607;-0.28605855;-0.25040495;-0.21526691;-0.44901457;-0.29671392;-0.12576434;0.6529302;-0.30934197;-0.010943193;-0.41359517;0.6984047;0.29054695
3;0.58865106;-0.33491376;0.29110005;0.2157445;-0.46404263;-0.024155658;-0.28733188;1.0390546;-0.34393924;0.42680448;-0.73058766;0.4622347;0.17459472;0.94812495;0.05696605;0.7715722;0.59601194;-0.4394264;-0.53770304;0.22420003;0.5123358;1.0099285;0.5138569;-0.46467206;-0.5703094;0.96760523;-0.5669864;-0.14356713;0.17757225;0.13642564;-0.55768913;-0.3203432;0.17216219;0.63053167;-0.014778338;-0.5774744;-0.1782816;-0.31104133;-0.19861025;0.6990519;-0.27596578;-0.65755343;-1.0187905;0.31803286;0.29390073;-0.8206092;0.72471654;0.6442365;1.0911906;-0.5924987
4;0.7050998;0.20067158;-0.9861394;0.035715293;0.17254369;0.36164945;0.5935618;1.1611112;0.15323414;-0.23759554;-0.43653032;0.69518334;0.1506581;0.8588055;-0.15204385;0.19623122;0.41372263;0.6643153;-0.054335423;0.8193956;0.6104784;0.7681555;0.6927303;0.35641724;-0.29158396;1.0120634;-0.47220463;-0.004285421;0.42593592;0.70661867;-0.34578288;0.109588936;-0.03140985;0.2970897;-0.020864638;-0.39346197;0.79696125;-0.979407;-0.23106308;0.45928216;-0.438455;0.7930006;-1.145216;-0.15311319;0.76026714;-0.0730115;0.29570305;-0.32028037;0.96914643;-0.16767304
5;-0.10596643;0.08745827;-0.16829884;0.27032253;0.08381667;-0.34539202;-0.114825815;0.54787576;-0.6160474;0.3481741;-0.1527007;0.28038058;-0.4794716;0.0031332176;-0.20937605;-0.22155662;0.27705634;-0.28968945;-0.0015322044;-0.69155365;0.15721849;-0.0031626336;0.3580263;-0.64848393;0.16518545;-0.05371299;-0.45129085;0.32671484;-0.36231765;0.6166545;0.07292842;-0.024803318;-0.26782867;0.23147051;-0.032822203;0.33562735;0.16975479;0.025257494;-0.21080409;-0.10235773;-0.14443459;-0.22760652;0.24036638;0.19241789;0.74299395;0.05417124;0.5546482;-0.063556775;0.14177671;0.16071042
6;1.4838889;-0.104534596;0.013524211;0.08872395;0.66063476;0.07420345;0.12772585;0.07623752;-0.36908048;0.7878875;-0.5890967;0.35355526;0.08903441;0.27848765;-0.66159445;0.6553021;0.38632843;0.11446393;-0.1635297;0.33091965;0.46494493;0.52861273;0.32171518;0.36112016;0.3232719;0.5034521;-0.01232112;-0.41518205;0.25574803;0.6465723;-0.4462671;-0.29605365;-0.16015765;-0.25464258;-0.065302305;-0.22072497;0.8408579;-0.5300094;0.30840117;-0.12473847;0.265222;0.122302264;0.17942217;0.36562282;0.2881544;-0.9481182;0.04131315;0.009561639;1.1085192;-0.38174254
7;0.16935244;0.10554229;-0.029912362;0.12453944;-0.4386084;-0.7149329;0.17567033;0.64634967;-0.65601104;-0.10539996;-0.17713635;0.7149414;-0.25981498;0.18098094;-0.21460769;0.5046882;0.32675874;0.17954032;0.33783278;-0.2488023;-0.07768664;0.46266788;0.2497046;0.15043487;0.3682719;-0.017076256;0.09543182;-0.055314466;-0.1193176;0.6593132;0.21985552;0.060512878;0.14111035;-0.3814146;0.8241853;0.6359915;0.1199013;0.17018242;0.38380215;-0.14128584;-0.39336595;-0.13107203;0.14582738;-0.12693757;0.7377375;-0.13145582;0.0027674616;-0.47014067;-0.09875103;-0.45640478
8;0.48003355;0.20491162;-0.3378745;-0.38479698;-0.36546767;-0.06579113;0.10467196;0.18401977;-0.2939743;0.8758113;-0.73253304;0.28644183;-0.07989948;-0.03295077;-0.061176535;-0.40459302;0.13452382;-0.1966273;0.2634979;-0.2260355;-0.059362017;0.41324526;-0.08938674;0.12611675;0.69778323;0.037928127;-0.2868391;0.15101425;-0.15730119;0.25904134;0.27409357;-0.7132039;-0.08881276;0.32022095;-0.120862655;0.6596348;-0.023967665;-0.11542936;0.084787466;-0.6113574;0.17142062;-0.33727977;0.012913397;-0.24197245;0.4890076;0.22159;-0.6748645;-0.77410096;1.0665811;-0.047839105
9;0.09582009;0.42031214;0.4417167;-0.11300634;-0.21703999;-0.21976408;0.090027966;0.68111104;-0.2844972;0.8471888;-1.1205647;0.07530067;-0.32170236;0.96853095;-1.1628733;-0.11873403;-0.046567034;-0.13423367;0.17555845;-0.3307954;-0.09681523;0.9502918;0.4843744;-0.31767458;0.22755422;0.08818865;-0.22683086;-0.041638877;-0.054852568;0.14889845;-0.35937124;-0.67358416;0.67505854;0.13257246;-0.111678325;-0.109313235;0.08535727;-0.3174458;-0.15893397;-0.012871591;0.0015170763;-0.8916705;-0.3862039;-0.27027875;-0.0930588;-0.0791124;-0.31804743;0.3689043;0.32616028;-0.0962507
